Jahr,Bildung und Forschung,Finanzen und Steuern,Sicherheit,Soziale Wohlfahrt,Verkehr
1990,2915630647.0,4284407050.0,6232318663.0,6875148065.0,4626737461.0
1991,3196255804.0,4556435637.0,6403683761.0,8091566588.0,5372565535.0
1992,3463842008.0,5520356244.0,6469724951.0,8615627258.0,5541552954.0
1993,3588630605.0,5211826174.0,5989260145.0,11298340730.0,6127084760.0
1994,3708233625.0,6271460413.0,6180145404.0,10697572111.0,6044092786.0
1995,3782031117.0,5851209917.0,6123288508.0,10221180047.0,6066917954.0
1996,3769967392.0,6054042708.0,5855449003.0,12738238707.0,6188360530.0
1997,3719666603.0,6339176682.0,5674377864.0,12968755756.0,6508301127.0
1998,3791191806.0,6990430679.0,5634870502.0,13051634596.0,8111978221.0
1999,3971224362.0,7069372235.0,5307857423.0,13445586367.0,6055543237.0
2000,3959681421.0,7577730652.0,5335423542.0,14171408437.0,6423640985.0
2001,4100246900.0,7612787104.0,5284460640.0,14497886521.0,7885195176.0
2002,4341443712.0,7940339290.0,5141992176.0,14686631113.0,7861220293.0
2003,4408650549.0,7757137645.0,5115860075.0,15265790104.0,7113421190.0
2004,5385442752.0,7492786327.0,5042977508.0,15780658216.0,7300437895.0
2005,4585598171.0,8242453966.0,5002543717.0,16136624489.0,7590731468.0
2006,4714349819.0,9262268432.0,4848925553.0,16246116471.0,7408555173.0
2007,4977740315.0,9753162986.0,4931132642.0,23970984046.0,7348526751.0
2008,5389864709.0,10990805111.0,5163248513.0,19032916104.0,10138099576.0
2009,5715272932.0,10248162627.0,5184733147.0,18049454302.0,8098898501.0
2010,6066592760.0,10110718468.0,5078232988.0,18453896502.0,8224955281.0
2011,6508746395.0,9954445897.0,5265997614.0,20557394636.0,8912376651.0
2012,6664467379.0,9380217551.0,5167044193.0,20668110746.0,8130003001.0
2013,6893887939.0,9915752864.0,5623333149.0,21105621386.0,8223763817.0
2014,6951748771.0,9469431381.0,5151942767.0,21414283739.0,8429429927.0
2015,7079690715.0,9533411347.0,5274631525.0,21997603991.0,8323476891.0
2016,7167186939.0,9861528721.0,5458534611.0,22543956791.0,9106518704.0
2017,7572555346.0,9951535152.0,5592149112.0,22907684137.0,9052870506.0
2018,7713701861.0,9886632237.0,5569960447.0,22328035093.0,10392618439.0
2019,7985404216.0,10140952934.0,5990822136.0,22385613930.0,9933206285.0
2020,8137196176.0,10474584019.0,6421627967.0,36301980388.0,10112336468.0
2021,7528035330.0,11619842621.0,5927497011.0,30222167199.0,10801424371.0
2022,7904194380.0,11098862229.0,7195079058.0,27044560897.0,10598191715.0
2023,8213807883.0,12208236019.0,6958976234.0,27166508510.0,10613951369.0
2024,8373807154.0,13361277300.0,6900132662.0,29253756414.0,12015685831.0
2025,8537085176.0,12923314900.0,7162388682.0,29820083897.0,10875916224.0
2026,8721585963.0,14813476700.0,7381049936.0,30484425804.0,11345747534.0
2027,8956911319.0,15232713500.0,7805770939.0,31557075777.0,11376824643.0
